"","Sample 1","Sample 2","Sample 3","Sample 4","Sample 5","Sample 6","Sample 7","Sample 8","Sample 9","Sample 10","Sample 11","Sample 12","Sample 13","Sample 14","Sample 15","Sample 16","Sample 17","Sample 18","Sample 19","Sample 20"
"PiN1",0.101621016552748,0.65080162800807,0.591722918083123,0.215169430024353,0.584808093254218,0.417888553452195,0.296961319921671,0.711826599737592,0.0367478357833294,0.823932480338939,0.637644567958838,0.30396625094896,0.467230638000958,0.303792254882462,0.549306084357626,0.115242241781223,0.217726176183926,0.100218657002368,0.131599115612112,0.833274133308331
"PiN2",0.208108096742914,0.257657013277941,0.243513697944898,0.29362176264513,0.322856911463601,0.172678376666713,0.470201135800305,0.150838701286118,0.0473478434031681,0.0878071326830349,0.123094924414594,0.290473749802043,0.313992717504477,0.249165791986318,0.147080081374658,0.672034834978153,0.339015666738528,0.116171054331788,0.157919317234241,0.0750842469248191
"PiT",0.690270886704338,0.0915413587139887,0.164763383971979,0.491208807330518,0.0923349952821806,0.409433069881092,0.232837544278024,0.13733469897629,0.915904320813502,0.0882603869780264,0.239260507626568,0.405559999248997,0.218776644494565,0.44704195313122,0.303613834267715,0.212722923240624,0.443258157077546,0.783610288665844,0.710481567153647,0.0916416197668498
